state,district,rural_urban,stunting_tier,stunting,wash_score,empowerment_score,healthcare_score,immunization_score,nutrition_deprivation,wealth_proxy,fertility_risk,ifa_100days,early_breastfeed,excl_breastfeed,vitamin_a,diarrhoea_prev,oop_delivery_cost,birth_registration,unmet_need_total,wash_score_sc,empowerment_score_sc,healthcare_score_sc,immunization_score_sc,nutrition_deprivation_sc,wealth_proxy_sc,fertility_risk_sc,ifa_100days_sc,early_breastfeed_sc,excl_breastfeed_sc,vitamin_a_sc,diarrhoea_prev_sc,oop_delivery_cost_sc,birth_registration_sc,unmet_need_total_sc,predicted_stunting_rf,predicted_stunting_ridge,residual_rf,cluster,risk_segment
AP,Sri Potti Sriramulu Nellore,Rural,Low (<30%),29.4,59.16666666666666,51.56666666666666,84.46666666666665,67.08,33.724999999999994,77.55,24.399999999999995,67.3,29.3,71.7,62.9,1.2,2436.0,80.7,3.2,0.170651829234593,-0.3871505210723642,1.5617698855094773,-0.7600359811302574,0.5804198185317113,1.5514649529457416,0.5715262618521828,1.9826026371328145,-0.9619627625725397,1.0574642744409344,0.1704930143966503,-1.404541068610934,-0.1837864286013757,-0.0338745261714284,-1.676661426151301,34.89871256189345,34.60067943184259,-5.4987125618934485,0,Tier 1 — Low Risk (Developed)
AP,Srikakulam,Rural,Low (<30%),28.0,48.96666666666667,50.900000000000006,79.21666666666665,81.0,34.2,74.375,18.9,65.7,27.5,74.25,89.7,5.9,2938.0,89.3,6.7,-0.5483014475230683,-0.441652838296443,1.2455733611732116,0.3032628609086322,0.6404479922778451,1.2591901830673322,-0.2320847553569336,1.8969786490688607,-1.0703196889407902,1.237426900572674,1.6911422610652946,-0.495879629398241,0.0004577171325261,0.4840862281346485,-1.1356591479917006,38.17481000356851,33.90732438323053,-10.17481000356851,0,Tier 1 — Low Risk (Developed)
AP,Visakhapatnam,Both,Moderate (30–40%),30.1,65.2,55.0,74.7,84.92,31.4,78.75,20.866666666666664,56.3,58.8,74.25,63.1,8.8,2143.0,84.5,5.5,0.5959150419572626,-0.1064635873683538,0.9735439703950284,0.6026975922874002,0.2865977049322211,1.661931007702936,0.0552670629178409,1.3939377191931313,0.8138868640182334,1.237426900572674,0.1818411431031329,0.0647838118181015,-0.2913233503145894,0.1949918536382334,-1.3211456433607065,32.933838157893305,32.1253616392208,-2.833838157893304,0,Tier 1 — Low Risk (Developed)
AP,Vizianagaram,Rural,Moderate (30–40%),36.8,56.5,47.86666666666667,76.01666666666667,78.06000000000002,41.25,73.8,23.5,55.0,40.2,62.3,78.5,7.2,2015.0,88.0,3.3,-0.0173098117478019,-0.6896383816660057,1.0528440511015835,0.0786868123745577,1.5313924657730762,1.2062585318295098,0.4400262772179643,1.324368228891169,-0.3058013751203555,0.3940726330141284,1.055647053502279,-0.2445477419564323,-0.3383019372746281,0.4057898350418696,-1.6612042182038838,37.588988330035086,37.84969271057984,-0.7889883300350888,0,Tier 1 — Low Risk (Developed)
AP,West Godavari,Rural,Low (<30%),28.5,65.93333333333334,57.46666666666666,77.35000000000001,88.72,27.225,81.275,20.366666666666667,44.8,34.2,74.25,73.9,6.6,3118.0,87.3,3.4,0.6476044932274213,0.0951949863607403,1.1331479302980962,0.8929659543382462,-0.2410183485206288,1.8943699979211992,-0.0177884841011692,0.7785153049834623,-0.6669911296811908,1.237426900572674,0.7946400932531839,-0.3605470746218826,0.0665213550450806,0.3636302387611422,-1.6457470102564666,29.078175199581136,29.34172992634857,-0.5781751995811355,0,Tier 1 — Low Risk (Developed)
AP,Y.S.R.,Both,Moderate (30–40%),36.3,65.53333333333333,54.833333333333336,80.71666666666668,84.84,26.575000000000003,79.5,20.966666666666665,57.2,39.3,76.8,81.7,6.4,3001.0,74.5,5.5,0.6194102470800616,-0.1200891666743735,1.3359152252692892,0.5965866794021193,-0.3231621652258628,1.7309722919261823,0.0698781723216433,1.4421012124791055,-0.3599798383044811,1.4173895267044134,1.237217112805998,-0.3992135188436992,0.0235799904019202,-0.4072880932292982,-1.3211456433607065,32.600071638845904,30.84688832824998,3.699928361154093,0,Tier 1 — Low Risk (Developed)
AR,Anjaw,Rural,Low (<30%),21.0,52.4,50.833333333333336,30.266666666666666,54.46,10.95,72.25,23.666666666666668,4.5,53.9,65.5,49.3,10.6,3876.0,74.5,25.1,-0.3063008347582347,-0.4471030700188512,-1.7025828038287316,-1.724032488783331,-2.297773143717068,1.0635732111014675,0.4643781262243013,-1.3781388943773774,0.5189152311268846,0.6199080854147433,-0.6011797376441541,0.4127818098144518,0.34472267469906,-0.4072880932292982,1.708467114333055,30.10360680100916,32.60978656555755,-9.103606801009152,2,Tier 2 — Moderate Risk
AR,Changlang,Rural,Low (<30%),23.5,50.96666666666667,50.96666666666666,40.51666666666667,84.03999999999999,23.475,65.225,20.433333333333334,11.1,68.6,73.1,25.7,3.3,3386.0,86.2,10.7,-0.4073302167862719,-0.436202606574036,-1.085246732505546,0.5354775505493087,-0.714924983358518,0.4168865155437262,-0.0080477444986344,-1.0249399436135676,1.4038301298009308,1.1562672848662026,-1.94025892500908,-0.9985434042818584,0.1648827714926617,0.297379444605714,-0.5173708300950148,30.75862709476481,33.19342126792518,-7.258627094764815,2,Tier 2 — Moderate Risk
AR,Dibang Valley,Rural,Moderate (30–40%),38.8,67.26666666666667,54.76666666666667,35.416666666666664,64.96,10.025,72.2,18.933333333333334,24.0,66.1,65.5,23.6,0.6,10164.0,52.0,15.4,0.7415853137186187,-0.1255393983967812,-1.3924090704322043,-0.9219751725902036,-2.4146701136437474,1.058970458819918,-0.2272143855556665,-0.3345965398479387,1.253334398733916,0.6199080854147433,-2.0594142764271446,-1.5205404012763843,2.652545759110963,-1.7624179736812446,0.2091179434335913,32.82221388806529,27.746895323609458,5.977786111934705,2,Tier 2 — Moderate Risk
AR,East Kameng,Rural,High (40–50%),42.0,51.23333333333333,43.26666666666667,13.483333333333334,22.3,13.475,58.175,30.566666666666663,1.8,54.3,21.7,20.0,7.3,6387.0,35.8,30.7,-0.388534052688033,-1.0657043705121547,-2.7134078832148254,-4.180619468666283,-1.9786760095928893,-0.2321015561547893,1.4725446750866484,-1.5226293742352996,0.5429945480976069,-2.471214669318669,-2.263680593143828,-0.225214519845524,1.2663104235791949,-2.738111487606646,2.574070759388415,37.97015998423947,42.98431040961973,4.029840015760527,2,Tier 2 — Moderate Risk
